m_DEF_JJ,hela,47226,andra,24756,sista,19630,lilla,18512,stora,11801,bästa,9923,gamla,9333,senaste,9088,nya,7801,själva,6184,flesta,5412,vita,4938,svarta,4855,förra,4626,minsta,4612
m_NOM_JJ,själv,55204,hela,48244,andra,47078,bra,27610,enda,25262,stora,23866,annan,23527,annat,22546,liten,21507,många,20816,sista,19630,lilla,18551,okej,17740,flera,17590,ena,17271
m_-_HP,som,1508267,som…,48,nombeko,21,tu,18,truut,18,men…,18,vem,16,yusef,15,lale,15,hinde,15,solara,12,kya,12,fariha,12,och…,10,tjåmme,9
m_NEU_NN,år,40204,huvudet,38336,fall,26879,liv,26514,sätt,24874,ögonen,24074,barn,23603,huset,20203,par,19947,ögon,19629,rummet,18962,tag,18921,ansikte,16904,golvet,16358,folk,16042
m_GEN_NN,sorts,4949,slags,4386,mammas,2797,pappas,2506,dagens,2429,mannens,2290,världens,2236,års,1787,polisens,1713,sortens,1534,kvinnans,1533,säkerhets,1417,grimas,1339,hundratals,1308,gångs,1181
m_SUB_PN,han,894823,jag,802180,hon,776176,du,363307,de,249915,vi,210591,man,91216,ni,61085,dom,8190,truut,501,fan,498,bägge,402,yusef,303,lale,243,aliide,226
m_UTR/NEU_PN,sig,448517,de,249915,dem,92085,alla,26055,varandra,21061,andra,16051,dom,13902,många,6976,några,5095,båda,4122,sådana,2016,fler,1927,flera,1730,allihop,1405,vissa,1139
m_SIN/PLU_PN,sig,448517,sej,1138,ens,52,stint,18,hän,18,eld,12,truut,5,sig…,5,hilly,5,mig…,4,upprymt,3,corky,3,yusef,2,varsin,2,tohunga,2
m_OBJ_PN,sig,448517,honom,183950,mig,176806,henne,167427,dem,92085,dig,87650,oss,41074,varandra,21061,er,15735,mej,3799,dej,3508,dom,2878,sej,1537,samir,400,varann,375
m_NOM_RO,första,31097,tredje,4654,andra,2898,fjärde,1650,femte,801,iii,749,sjätte,505,sjunde,400,tionde,398,näst,304,åttonde,212,elfte,171,nionde,161,igår,147,femtonde,138
m_IND_DT,en,759655,ett,309088,några,58335,någon,48059,något,39582,ingen,36363,samma,34876,varje,21635,inga,18791,inget,16950,nån,3813,varenda,3732,var,3685,nåt,2704,någonting,1587
m_PRF_PC,tvungen,7196,taget,5587,klädd,4011,förvånad,3743,sagt,3615,sett,3548,hämtade,3242,intresserad,3222,övertygad,2950,beredd,2946,älskade,2794,galen,2531,misstänkt,2366,irriterad,2308,gift,2140
m_UTR/NEU_PC,hämtade,3242,älskade,2794,levande,2715,liknande,2267,frågande,2263,spännande,1869,dödade,1807,sittande,1705,upprepade,1590,kallade,1541,lugnande,1470,rasande,1453,förbannade,1448,väntade,1406,darrande,1300
m_SIN_PC,tvungen,7192,taget,5587,klädd,4011,förvånad,3743,sagt,3615,sett,3548,intresserad,3222,övertygad,2950,beredd,2946,galen,2531,misstänkt,2366,irriterad,2308,gift,2140,utmärkt,1994,upptagen,1902
m_DEF_PC,älskade,1723,förflutna,1086,förbannade,1013,upprepade,879,kallade,785,stängda,533,slitna,485,motsatta,442,berömda,412,samlade,347,förlorade,343,dödade,331,skadade,326,okända,312,mördade,287
m_NOM_PC,tvungen,7188,taget,5587,klädd,4011,förvånad,3743,sagt,3615,sett,3548,hämtade,3242,intresserad,3222,övertygad,2950,beredd,2946,älskade,2794,levande,2715,galen,2531,misstänkt,2366,irriterad,2308
m_NEU_PN,det,1107492,något,71989,allt,48522,ingenting,20548,inget,16385,någonting,12781,detta,12254,nåt,5606,allting,5389,annat,4826,ett,4035,sådant,3985,mycket,3119,sånt,2148,alltihop,2086
m_SUP_VB,varit,70542,fått,35855,gjort,29565,blivit,26029,gått,22906,sett,22279,haft,21421,kommit,21236,sagt,20076,tagit,19113,hänt,14231,hört,12241,börjat,11039,kunnat,10503,tänkt,9350
m_POS_AB,mycket,58194,lite,48714,helt,39828,länge,25616,plötsligt,20775,bra,20263,faktiskt,19848,snabbt,18882,snart,18106,långt,17139,säkert,13593,väldigt,12190,hårt,11740,rakt,11630,direkt,11125
m_SIN/PLU_JJ,bra,27610,enda,25262,sista,19629,ena,17271,bättre,14429,nästa,12344,bästa,9923,senaste,9088,större,8886,äldre,7238,mer,7049,fel,5657,värre,5109,minsta,4612,värsta,4373
m_IND/DEF_JJ,bra,27610,enda,25262,andra,22098,många,20793,ena,17271,egen,16250,bättre,14429,båda,12705,nästa,12344,små,12282,stora,12065,olika,11037,större,8886,nya,8066,eget,7361
m_NEU_DT,ett,309088,det,160483,något,39582,inget,16950,allt,9151,detta,5902,nåt,2704,någonting,1587,ingenting,1019,vart,464,allting,221,intet,178,vartenda,121,nånting,119,sånt,118
m_PLU_PC,hämtade,3225,dödade,1512,väntade,1311,kontrollerade,1257,älskade,1080,slutna,1000,fyllda,979,ändrade,962,passerade,926,misstänkta,879,tvungna,876,klädda,815,inblandade,810,försäkrade,798,gifta,788
m_IND/DEF_PC,hämtade,3224,levande,2715,liknande,2267,frågande,2263,spännande,1869,sittande,1705,dödade,1476,lugnande,1470,rasande,1453,väntade,1306,darrande,1300,hängande,1291,avgörande,1260,kontrollerade,1257,liggande,1226
m_INF_VB,ha,101114,vara,94809,få,69045,göra,62043,ta,59699,gå,51878,bli,51417,se,50736,komma,38678,säga,38153,kunna,28891,veta,20499,prata,20386,hålla,19108,tänka,17234
m_PRS_VB,är,508967,har,292598,kan,135149,ska,95555,vet,79099,måste,78546,kommer,77611,säger,76208,vill,67815,får,54055,ser,50577,går,47436,tror,39847,gör,39804,finns,33774
m_SFO_VB,fanns,40913,finns,33774,kändes,12896,minns,9677,känns,8610,hoppas,7020,hördes,6716,lyckades,6087,mindes,5852,tycktes,5841,lyckats,5277,syntes,4842,finnas,4800,ses,4326,hoppades,4264
m_NEU_PC,taget,5587,sagt,3615,sett,3548,bestämt,1746,utmärkt,1482,talat,1470,oväntat,1347,täckt,1106,irriterat,1091,förvånat,1074,bortsett,1038,betalt,1024,uppgivet,974,förvirrat,909,särskilt,905
m_IND_PC,tvungen,7146,taget,5587,klädd,4011,förvånad,3743,sagt,3615,sett,3548,intresserad,3222,övertygad,2950,beredd,2946,galen,2531,misstänkt,2366,irriterad,2308,gift,2140,utmärkt,1993,upptagen,1902
m_UTR/NEU_DT,de,141044,alla,62414,några,58335,samma,34876,varje,21635,inga,18790,dessa,5632,dom,3404,varenda,1843,bägge,1282,vartenda,654,varsin,583,vardera,394,idel,162,ömse,108
m_PLU_DT,de,141044,alla,62414,några,58335,inga,18788,dessa,5632,dom,3407,bägge,1281,idel,162,ömse,108,vartenda,44,vardera,27,tvåhundra,8,neas,7,topp,6,stans,4
m_IND/DEF_DT,alla,62414,all,10115,allt,9151,allting,8,plymouths,1,massa,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
m_NOM_RG,två,59398,tre,26143,fyra,13321,fem,11710,tio,11573,sex,8372,ett,6874,tjugo,5851,en,5553,sju,5080,åtta,4956,hundra,4718,nio,3412,trettio,3156,tolv,3144
