measure,transl,iclass,a,b,Cb,Ob,aMd0,aMd1,a_p,b_p,Cb_p,Ob_p,a_d,b_d,Cb_d,Ob_d
m_POS_JJ,Positive|Adjective,degree,0.62,0.65,0.62,0.64,921119,913517,0.00601,0.00000,0.00049,0.00086,0.41,0.53,0.47,0.58
m_POS_AB,Positive|Adverb,degree,0.56,0.53,0.54,0.52,154041,150380,0.16708,0.23511,0.23722,0.64150,0.11,0.04,0.09,-0.05
m_KOM_JJ,Comparative|Adjective,degree,0.42,0.42,0.44,0.41,40600,43472,0.05648,0.00291,0.08883,0.04686,-0.30,-0.31,-0.24,-0.35
m_KOM_AB,Comparative|Adverb,degree,0.31,0.30,0.30,0.31,34768,39986,0.00001,0.00000,0.00000,0.00001,-0.70,-0.72,-0.69,-0.73
m_SUV_JJ,Superlative|Adjective,degree,0.43,0.38,0.40,0.38,35784,37735,0.08230,0.00002,0.00348,0.00432,-0.28,-0.45,-0.38,-0.52
m_SUV_AB,Superlative|Adverb,degree,0.38,0.33,0.32,0.36,14719,16780,0.00554,0.00000,0.00000,0.00120,-0.46,-0.65,-0.66,-0.62
