id,isbn,title,all_authors,author_gender,publisher,publication_date,format,category,all_narrators,narrator_gender,hb_year,hb_pos,pb_year,pb_pos,str_year,str_pos
orig_044,S9789177350507,Jordbunden - S1,Erik Thulin,M,Storytel Original,2016-11-01,original,CRIME,Eva Röse,F,,,,,,
orig_045,S9789177788263,Jordbunden - S2,Erik Thulin,M,Storytel Original,2017-09-05,original,CRIME,Eva Röse,F,,,,,,
orig_046,S9789178691500,Jordbunden - S3,Erik Thulin,M,Storytel Original,2019-06-07,original,CRIME,Eva Röse,F,,,,,,
orig_047,9789177356721,Jul i Byvalla,Karin Janson,F,Storytel Original,2016-12-20,original,OTHER,Cecilia Forss,F,,,,,,
orig_048,9789179917234,Jul på Huvudkontoret,Gunnar Svensén,M,Storytel Original,2019-12-01,original,OTHER,Emma Peters,F,,,,,,
orig_049,S9789178071265,Jungfruresan - S1,Joel Arvidsson,M,Storytel Original,2018-10-02,original,OTHER,Kristofer Kamiyasu,M,,,,,,
orig_050,S9789178155521,Kalla fötter - S1,Karin Janson,F,Storytel Original,2019-07-17,original,OTHER,Frida Hallgren,F,,,,,,
orig_051,S9789177786825,Kämpa tjejer! - S1,Jenny Gromark Wennberg,F,Storytel Original,2018-10-09,original,OTHER,Hanna Dorsin,F,,,,,,
orig_052,S9789177351993,Kropparna i Timmerdalen - S1,Gustaf Gustafsson,M,Storytel Original,2017-04-28,original,OTHER,Johan Ulveson,M,,,,,,
orig_053,S9789179673031,Lillforsa Ladies,Karin Janson,F,Storytel Original,2020-12-01,original,OTHER,Ida Hallquist,F,,,,,,
orig_054,S9789178151608,Majken Linds mordmysterier - S1,"Boel Bermann, Olle Söderström",2,Storytel Original,2018-03-19,original,CRIME,Marga Pettersson,F,,,,,,
orig_055,S9789177350804,Maskeradstaden,Maria Monciu,F,Storytel Original,2016-08-02,original,OTHER,Alexander Salzberger,M,,,,,,
orig_056,9789179910495,Mördarens syster,Emma Andersson,F,Storytel Original,2019-04-23,original,CRIME,Disa Östrand,F,,,,,,
orig_057,9789179677657,Mörkermannen,Anna Bågstam,F,Storytel Original,2021-01-11,original,CRIME,Angela Kovács,F,,,,,,
orig_058,S9789177912385,Mörkt arv - S1,Arianna Bommarco,F,Storytel Original,2017-11-28,original,CRIME,Ida Engvoll,F,,,,,,
orig_059,9789179256692,Nära gränsen – Gisslan,Daniel Åberg,M,Storytel Original,2019-07-30,original,CRIME,Lo Kauppi,F,,,,,,
orig_060,9789179910549,Nära gränsen – Hotet,Daniel Åberg,M,Storytel Original,2020-11-25,original,CRIME,Lo Kauppi,F,,,,,,
orig_061,S9789178412303,Nina i Granbergsbyn - S1,Anna Holmström Degerman,F,Storytel Original,2018-11-06,original,OTHER,Charlotta Jonsson,F,,,,,,
orig_062,S9789179076207,Nina i Granbergsbyn - S2,Anna Holmström Degerman,F,Storytel Original,2019-11-13,original,OTHER,Charlotta Jonsson,F,,,,,,
orig_063,9789180111058,Ögonvittnet,Anna Bågstam,F,Storytel Original,2018-05-15,original,CRIME,Angela Kovács,F,,,,,,
orig_064,S9789177614920,Önskebrunnen - S1,"Felicia Welander, Peo Bengtsson",2,Storytel Original,2017-09-19,original,CRIME,Ingela Olsson,F,,,,,,
orig_065,9789178075010,Panopticon,JC Koldemo,F,Storytel Original,2020-09-02,original,OTHER,Disa Östrand,F,,,,,,
orig_066,9789177617105,Rovdrift,Joel Wallon,M,Storytel Original,2020-07-22,original,OTHER,"Daniel Larsson, Siham Shurafa",2,,,,,,
orig_067,S9789177350408,Ryggdjur,Hanna von Corswant,F,Storytel Original,2016-11-08,original,CRIME,Rakel Wärmländer,F,,,,,,
orig_068,S9789178608447,Saknad - S1,Lone Theils,F,Storytel Original,2019-09-16,original,CRIME,Callin Öhrvall Delmar,F,,,,,,
orig_069,S9789177354222,Samtal pågår,"Henrik Karlsson, Tiina Nevala",2,Storytel Original,2016-10-11,original,OTHER,Lia Boysen,F,,,,,,
